id,datahora,velocidade,sentido,id_type,id_radar
186,10/2/2019 8:17:39 AM,-63,0,2,1
188,10/2/2019 8:17:53 AM,35,1,2,1
188,10/2/2019 8:17:53 AM,35,1,2,1
189,10/2/2019 8:17:55 AM,40,1,2,1
189,10/2/2019 8:17:55 AM,40,1,2,1
190,10/2/2019 8:17:56 AM,42,1,2,1
190,10/2/2019 8:17:56 AM,42,1,2,1
187,10/2/2019 8:18:08 AM,-12,0,2,1
192,10/2/2019 8:18:10 AM,-69,0,2,1
193,10/2/2019 8:18:18 AM,63,1,2,1
193,10/2/2019 8:18:18 AM,63,1,2,1
194,10/2/2019 8:18:19 AM,66,1,2,1
194,10/2/2019 8:18:19 AM,66,1,2,1
195,10/2/2019 8:18:36 AM,-52,0,2,1
198,10/2/2019 8:18:53 AM,-56,0,2,1
199,10/2/2019 8:19:05 AM,-63,0,2,1
201,10/2/2019 8:19:13 AM,50,1,2,1
201,10/2/2019 8:19:13 AM,50,1,2,1
202,10/2/2019 8:19:15 AM,49,1,2,1
202,10/2/2019 8:19:15 AM,49,1,2,1
203,10/2/2019 8:19:16 AM,50,1,2,1
203,10/2/2019 8:19:16 AM,50,1,2,1
204,10/2/2019 8:19:29 AM,45,1,2,1
204,10/2/2019 8:19:29 AM,45,1,2,1
200,10/2/2019 8:19:36 AM,-14,0,2,1
205,10/2/2019 8:19:40 AM,-38,0,2,1
206,10/2/2019 8:19:45 AM,56,1,2,1
206,10/2/2019 8:19:45 AM,56,1,2,1
208,10/2/2019 8:19:50 AM,60,1,2,1
208,10/2/2019 8:19:50 AM,60,1,2,1
207,10/2/2019 8:19:54 AM,-59,0,2,1
211,10/2/2019 8:19:58 AM,-56,0,2,1
212,10/2/2019 8:19:59 AM,-55,0,2,1
212,10/2/2019 8:19:59 AM,-55,0,2,1
213,10/2/2019 8:20:08 AM,-57,0,2,1
214,10/2/2019 8:20:21 AM,76,1,2,1
214,10/2/2019 8:20:21 AM,76,1,2,1
215,10/2/2019 8:21:09 AM,-53,0,2,1
217,10/2/2019 8:21:11 AM,-59,0,2,1
218,10/2/2019 8:21:18 AM,-53,0,2,1
219,10/2/2019 8:21:19 AM,66,1,2,1
219,10/2/2019 8:21:19 AM,66,1,2,1
220,10/2/2019 8:21:28 AM,-59,0,2,1
221,10/2/2019 8:21:30 AM,-64,0,2,1
222,10/2/2019 8:21:50 AM,67,1,2,1
222,10/2/2019 8:21:50 AM,67,1,2,1
223,10/2/2019 8:21:51 AM,70,1,2,1
223,10/2/2019 8:21:51 AM,70,1,2,1
224,10/2/2019 8:22:09 AM,82,1,2,1
224,10/2/2019 8:22:09 AM,82,1,2,1
227,10/2/2019 8:22:31 AM,-70,0,3,1
228,10/2/2019 8:22:34 AM,58,1,2,1
228,10/2/2019 8:22:34 AM,58,1,2,1
229,10/2/2019 8:22:35 AM,58,1,2,1
229,10/2/2019 8:22:35 AM,58,1,2,1
230,10/2/2019 8:22:50 AM,58,1,2,1
230,10/2/2019 8:22:50 AM,58,1,2,1
233,10/2/2019 8:22:59 AM,66,1,2,1
233,10/2/2019 8:22:59 AM,66,1,2,1
231,10/2/2019 8:22:59 AM,-58,0,2,1
234,10/2/2019 8:23:07 AM,-73,0,2,1
236,10/2/2019 8:23:21 AM,-66,0,2,1
232,10/2/2019 8:23:24 AM,-11,0,2,1
237,10/2/2019 8:23:25 AM,-58,0,2,1
238,10/2/2019 8:23:30 AM,73,1,4,1
238,10/2/2019 8:23:30 AM,73,1,4,1
235,10/2/2019 8:23:38 AM,-14,0,2,1
239,10/2/2019 8:23:39 AM,-54,0,3,1
239,10/2/2019 8:23:39 AM,-54,0,3,1
240,10/2/2019 8:23:48 AM,-60,0,2,1
241,10/2/2019 8:24:08 AM,-53,0,2,1
242,10/2/2019 8:24:13 AM,55,1,2,1
242,10/2/2019 8:24:13 AM,55,1,2,1
243,10/2/2019 8:24:15 AM,62,1,2,1
243,10/2/2019 8:24:15 AM,62,1,2,1
244,10/2/2019 8:24:19 AM,57,1,2,1
244,10/2/2019 8:24:19 AM,57,1,2,1
245,10/2/2019 8:24:21 AM,62,1,2,1
245,10/2/2019 8:24:21 AM,62,1,2,1
246,10/2/2019 8:24:23 AM,58,1,2,1
246,10/2/2019 8:24:23 AM,58,1,2,1
247,10/2/2019 8:24:37 AM,60,1,2,1
247,10/2/2019 8:24:37 AM,60,1,2,1
249,10/2/2019 8:24:38 AM,58,1,2,1
249,10/2/2019 8:24:38 AM,58,1,2,1
248,10/2/2019 8:24:39 AM,-83,0,2,1
250,10/2/2019 8:24:49 AM,50,1,2,1
250,10/2/2019 8:24:49 AM,50,1,2,1
251,10/2/2019 8:25:07 AM,-62,0,2,1
252,10/2/2019 8:25:12 AM,-51,0,2,1
253,10/2/2019 8:25:18 AM,-51,0,2,1
255,10/2/2019 8:25:36 AM,53,1,2,1
255,10/2/2019 8:25:36 AM,53,1,2,1
0,10/2/2019 8:25:37 AM,53,1,2,1
0,10/2/2019 8:25:37 AM,53,1,2,1
1,10/2/2019 8:25:37 AM,56,1,2,1
1,10/2/2019 8:25:37 AM,56,1,2,1
2,10/2/2019 8:25:53 AM,59,1,2,1
2,10/2/2019 8:25:53 AM,59,1,2,1
3,10/2/2019 8:26:11 AM,85,1,2,1
3,10/2/2019 8:26:11 AM,85,1,2,1
4,10/2/2019 8:26:26 AM,-45,0,2,1
7,10/2/2019 8:26:29 AM,40,1,2,1
7,10/2/2019 8:26:29 AM,40,1,2,1
9,10/2/2019 8:26:32 AM,56,1,4,1
9,10/2/2019 8:26:32 AM,56,1,4,1
11,10/2/2019 8:26:33 AM,59,1,4,1
11,10/2/2019 8:26:33 AM,59,1,4,1
12,10/2/2019 8:26:34 AM,59,1,2,1
12,10/2/2019 8:26:34 AM,59,1,2,1
13,10/2/2019 8:26:35 AM,60,1,2,1
13,10/2/2019 8:26:35 AM,60,1,2,1
14,10/2/2019 8:26:46 AM,59,1,2,1
14,10/2/2019 8:26:46 AM,59,1,2,1
15,10/2/2019 8:26:49 AM,62,1,2,1
15,10/2/2019 8:26:49 AM,62,1,2,1
16,10/2/2019 8:26:53 AM,69,1,4,1
16,10/2/2019 8:26:53 AM,69,1,4,1
17,10/2/2019 8:27:00 AM,66,1,2,1
17,10/2/2019 8:27:00 AM,66,1,2,1
18,10/2/2019 8:27:05 AM,-76,0,2,1
19,10/2/2019 8:27:07 AM,59,1,2,1
19,10/2/2019 8:27:07 AM,59,1,2,1
20,10/2/2019 8:27:45 AM,-63,0,2,1
21,10/2/2019 8:27:46 AM,69,1,4,1
21,10/2/2019 8:27:46 AM,69,1,4,1
22,10/2/2019 8:28:01 AM,-71,0,2,1
23,10/2/2019 8:28:04 AM,60,1,2,1
23,10/2/2019 8:28:05 AM,60,1,2,1
24,10/2/2019 8:28:06 AM,62,1,2,1
24,10/2/2019 8:28:06 AM,62,1,2,1
25,10/2/2019 8:28:11 AM,58,1,2,1
25,10/2/2019 8:28:11 AM,58,1,2,1
26,10/2/2019 8:28:17 AM,59,1,2,1
26,10/2/2019 8:28:17 AM,59,1,2,1
30,10/2/2019 8:28:20 AM,-58,0,2,1
31,10/2/2019 8:28:21 AM,68,1,2,1
31,10/2/2019 8:28:21 AM,68,1,2,1
33,10/2/2019 8:28:34 AM,92,1,2,1
33,10/2/2019 8:28:34 AM,92,1,2,1
34,10/2/2019 8:28:39 AM,-55,0,2,1
35,10/2/2019 8:28:43 AM,86,1,2,1
35,10/2/2019 8:28:43 AM,86,1,2,1
36,10/2/2019 8:28:56 AM,-48,0,3,1
36,10/2/2019 8:28:56 AM,-48,0,3,1
38,10/2/2019 8:28:58 AM,75,1,2,1
38,10/2/2019 8:28:58 AM,75,1,2,1
39,10/2/2019 8:29:04 AM,84,1,2,1
39,10/2/2019 8:29:04 AM,84,1,2,1
40,10/2/2019 8:29:25 AM,-55,0,2,1
42,10/2/2019 8:29:27 AM,-55,0,2,1
45,10/2/2019 8:29:52 AM,69,1,2,1
45,10/2/2019 8:29:52 AM,69,1,2,1
46,10/2/2019 8:29:54 AM,70,1,2,1
46,10/2/2019 8:29:54 AM,70,1,2,1
47,10/2/2019 8:30:02 AM,-59,0,2,1
49,10/2/2019 8:30:05 AM,66,1,2,1
49,10/2/2019 8:30:05 AM,66,1,2,1
51,10/2/2019 8:30:15 AM,-51,0,2,1
52,10/2/2019 8:30:19 AM,-49,0,2,1
53,10/2/2019 8:30:21 AM,-51,0,2,1
54,10/2/2019 8:30:24 AM,-73,0,2,1
56,10/2/2019 8:30:26 AM,-50,0,2,1
57,10/2/2019 8:30:40 AM,43,1,2,1
57,10/2/2019 8:30:40 AM,43,1,2,1
58,10/2/2019 8:30:41 AM,45,1,2,1
58,10/2/2019 8:30:41 AM,44,1,2,1
59,10/2/2019 8:30:42 AM,48,1,2,1
59,10/2/2019 8:30:42 AM,48,1,2,1
60,10/2/2019 8:30:55 AM,-53,0,2,1
61,10/2/2019 8:31:00 AM,54,1,2,1
61,10/2/2019 8:31:00 AM,54,1,2,1
62,10/2/2019 8:31:01 AM,58,1,2,1
62,10/2/2019 8:31:02 AM,57,1,2,1
63,10/2/2019 8:31:19 AM,50,1,2,1
63,10/2/2019 8:31:19 AM,50,1,2,1
64,10/2/2019 8:31:24 AM,-53,0,2,1
65,10/2/2019 8:31:24 AM,49,1,2,1
